0,SteveDaines,The honor was all mine Kandi is an amazing representative of and our great state MontanaProud,0.7000000000000001,"['kandi', 'amazing representative', 'great state', 'montanaproud']",R,Montana
26,SenJohnHoeven,The s FY20 work plan includes 100 million for construction of floodprotection in the FM region As a member of Approps Committee we worked to provide funding in the Corps construction account to ensure this protection in the Red River Valley,0.0,"['fy20', 'work plan', 'fm', 'approps', 'corps construction account', 'red river valley']",R,North Dakota
27,SenJohnHoeven,We will continue working to find savings where possible but we must invest in our priorities The president s budget is a proposal amp now Congress will go to work to fund our priorities,0.0,"['president s budget', 'proposal amp', 'congress']",R,North Dakota
28,SenJohnHoeven,As a member of the Defense Approps committee amp chair of the Ag Approps committee I look forward to working w the administration to ensure FY21 properly funds NDdefense amp NDag priorities,0.0,"['approps', 'committee amp chair', 'ag approps', 'fy21', 'nddefense', 'ndag']",R,North Dakota
29,SenJohnHoeven,Sat down w NorthDakota Barley Council this week to discuss disaster assistance amp crop insurance working to ensure NDag producers have strong risk management tools available,0.2259259259259259,"['sat', 'northdakota barley', 'disaster assistance amp crop insurance', 'ndag', 'strong risk management tools']",R,North Dakota
30,SenatorFischer,It was wonderful to see so many folks in DC at the NebraskaBreakfast Thank you all for joining us this morning Our upcoming dates are here,0.75,"['dc', 'nebraskabreakfast thank']",R,Nebraska
31,SenatorFischer,Key parts of our nuclear deterrent have been around longer than Modernization is necessary The Obama admin our senior military officials amp strong bipartisan majorities in Congress all agree Hope to see you at Thursday s hearing should be a learning experience,0.08333333333333331,"['key', 'nuclear deterrent', 'modernization', 'obama', 'senior military officials amp', 'strong bipartisan majorities', 'congress', 'hope', 's hearing', 'learning experience']",R,Nebraska
32,SenatorFischer,At a hearing on compensation for college athletes I raised my concerns about how new policies in intercollegiate sports could impact schools like Nebraska We need to get this right for our student athletes amp Nebraska athletics cc President,0.21103896103896103,"['college athletes', 'new policies', 'intercollegiate sports', 'impact schools', 'nebraska', 'student athletes amp', 'nebraska', 'athletics cc president']",R,Nebraska
33,SenatorFischer,It was a pleasure to meet Haley Waggoner a tennis player who competed in the I loved hearing her story of how this competition taught her to overcome her shyness and excel at her job in Lincoln Thank you for stopping by this morning SOHillDay,0.7,"['haley waggoner', 'tennis player', 'lincoln thank', 'sohillday']",R,Nebraska
34,SenatorFischer,Today I was able to spend time speaking with the s Class of 39 Such a great group of men and women who work hard to keep Nebraska agriculture thriving LEAD is a fantastic program that develops the next generation of ag leaders NEAg,0.2347222222222222,"['s class', 'great group', 'nebraska', 'lead', 'fantastic program', 'ag leaders', 'neag']",R,Nebraska
35,SenSasse,This tweet is simply drunk partisanship Gen Soleimani has killed hundreds and hundreds of Americans and was actively plotting more This commander in chief any C in C has an obligation to defend America by killing this bastard,-0.08333333333333331,"['drunk partisanship', 'gen soleimani', 'america']",R,Nebraska
36,SenSasse,,0.0,[],R,Nebraska
37,SenSasse,you re parroting communist propaganda China is running torture camps and you know it GoogleUyghurs,-0.1,"['communist propaganda', 'china', 'torture camps', 'googleuyghurs']",R,Nebraska
38,SenSasse, Sen Ben Sasse issued a fresh statement Thursday urging Trump to reconsider President Trump his Syria policy citing past Kurd,0.024999999999999994,"['sen ben sasse', 'fresh statement', 'trump', 'trump', 'syria', 'kurd']",R,Nebraska
39,SenSasse,Congratulations to the University of Nebraska on being the first school in the nation with home stadiums in both the Big Ten and the Pac 12,0.08333333333333333,"['congratulations', 'nebraska', 'ten', 'pac']",R,Nebraska
40,SenatorHassan,Spring is here for RedSox Nation Happy PitchersAndCatchers day to all,0.8,['redsox nation happy pitchersandcatchers'],D,New Hampshire
41,SenatorHassan,This is not the first time that President Trump has tried to cut this vital program and I will fight continue fighting for it,0.175,"['trump', 'vital program']",D,New Hampshire
42,SenatorHassan,The President s recent budget proposal would eliminate Team which provides grants that help our rural communities Spur economic development Combat the opioid crisis Strengthen infrastructure Promote workforce development,0.06666666666666667,"['president s', 'recent budget proposal', 'team', 'rural communities', 'spur', 'economic development', 'combat', 'opioid crisis', 'strengthen', 'promote', 'workforce development']",D,New Hampshire
43,SenatorHassan,Have you heard of these 7 scientists Celebrate WomenInScience Day by taking a few minutes to learn about them,-0.2,"['have', 'celebrate womeninscience']",D,New Hampshire
44,SenatorHassan,I recently introduced the Cybersecurity State Coordinator Act so that every state has a federal cybersecurity expert on the ground to help them address cyberthreats 2 2,0.0,"['cybersecurity', 'coordinator', 'federal cybersecurity expert', 'address cyberthreats']",D,New Hampshire
45,SenatorShaheen,Those who use Rye Harbor have had their safety amp livelihoods threatened by shoaling I ve urged the Army Corps of Engineers to fund amp prioritize dredging Rye Harbor I m happy to report that the Corps has now allocated 4 million to get Rye Harbor dredged,0.8,"['rye', 'safety amp livelihoods', 'army corps', 'engineers', 'fund amp prioritize', 'rye', 'rye']",D,New Hampshire
46,SenatorShaheen,Read more here,0.5,['read'],D,New Hampshire
47,SenatorShaheen,Relieved FDA heeded my call to revoke exclusivity for a drug used to treat opioid use disorder My bill w amp would build on this work amp lower drug costs by closing a loophole that lets companies block cheaper alternatives from coming to market,0.0,"['relieved fda', 'revoke exclusivity', 'opioid use disorder', 'bill w amp', 'work amp', 'drug costs', 'lets companies block']",D,New Hampshire
48,SenatorShaheen,Thank you Tavion for your service to our nation and for sharing your powerful story s ban violates our transgender service members civil rights and discriminates against Americans who have served with honor amp distinction I ll continue to fight this disgraceful policy,0.3,"['thank', 'tavion', 'powerful story s ban violates', 'transgender service members', 'civil rights', 'honor amp distinction', 'disgraceful policy']",D,New Hampshire
49,SenatorShaheen,Americans see the devastating impacts of climate change every day We need to act on climate My bill with will help do just that by drafting a plan that puts our nation on a path to achieve net zero greenhouse gas emissions by 2050,-0.5,['net zero greenhouse gas emissions'],D,New Hampshire
50,SenBooker,Justice in America should not depend on your wealth and connections I agree with DOJ OIG should open an investigation into potential improper political interference in the Stone case No one is above the law that includes Trump s friends,0.0,"['america', 'doj oig', 'improper political interference', 'stone', 'trump', 's friends']",D,New Jersey
51,SenBooker,This merger will have harmful and long lasting effects on workers and consumers Federal regulators should have rejected it in the first place,0.06666666666666667,['federal regulators'],D,New Jersey
52,SenBooker, The Immigrant Trust Directive makes NJ stronger fairer and safer That s why both advocates and law enforcement support,0.0,"['immigrant', 'directive', 'nj', 'law enforcement support']",D,New Jersey
53,SenBooker,Congrats Karen Rupert Toliver and the entire HairLove team Thank you for bringing this important message to film Honored to lead the fight with at the federal level for the Crown Act Yes representation matters,0.2,"['congrats karen rupert toliver', 'hairlove', 'thank', 'important message', 'honored', 'federal level', 'crown', 'representation matters']",D,New Jersey
54,SenBooker, Army Lt Col Vindman is a patriot and it s a disgrace that truth doesn t matter and right doesn t matter to this pre,0.2857142857142857,"['lt col vindman', 'truth doesn t matter', 'right doesn t matter']",D,New Jersey
55,SenatorMenendez,Captain America s real superpower Getting Members of Congress to answer questions in under 1 minute But and are right Our country needs AStartingPoint to help Americans move past the noise of politics amp understand the issues that impact them each day,0.07857142857142857,"['america', 'real superpower', 'congress', 'country needs', 'astartingpoint', 'politics amp']",D,New Jersey
56,SenatorMenendez, The impeachment inquiry heightened tension between the executive and legislative branches over foreign policy What refo,-0.125,"['impeachment inquiry', 'legislative branches', 'foreign policy']",D,New Jersey
57,SenatorMenendez,At 1 00 PM will be holding a hearing on the TrumpBudget Treasury Secretary Steven Mnuchin will be testifying WATCH LIVE,0.13636363636363635,"['pm', 'trumpbudget', 'treasury secretary', 'steven mnuchin', 'watch live']",D,New Jersey
58,SenatorMenendez,At 10 15 AM the Senate Foreign Relations Committee has a hearing on U S Libya Policy WATCH LIVE,0.005681818181818177,['libya policy watch live'],D,New Jersey
59,SenatorMenendez,I have three important hearings today At 9 30 AM I have hearing on The Semiannual Monetary Policy Report to the Congress feat Fed Chair Jerome Powell WATCH LIVE,0.2681818181818182,"['important hearings', 'semiannual monetary policy', 'congress', 'fed chair jerome powell watch live']",D,New Jersey
60,MartinHeinrich,President Trump s federal energy regulators are throwing a wrench into efforts at the state and local level to move toward cleaner and cheaper sources of power My op ed on what s at stake,0.0,"['trump', 'federal energy regulators', 'local level']",D,New Mexico
61,MartinHeinrich,For someone who keeps claiming he won t touch Medicare or Social Security it s revealing that President Trump keeps proposing budgets with devastating cuts for safety net programs that hardworking New Mexico families rely on,-0.20757575757575758,"['t touch', 'medicare', 'social security', 'trump', 'safety net programs', 'mexico']",D,New Mexico
62,MartinHeinrich,Combining employee ownership and solar What a great New Mexico small business story,0.2287878787878788,"['combining', 'employee ownership', 'mexico', 'small business story']",D,New Mexico
63,MartinHeinrich,Ignorance and happy talk don t stop pandemics Science and public health resources do,0.4,"['ignorance', 'happy talk don t', 'pandemics science', 'public health resources']",D,New Mexico
64,MartinHeinrich,Retribution is a hallmark among mob bosses and dictators A sad day for democracy s checks and balances,-0.5,"['retribution', 'mob bosses', 'sad day', 'democracy s checks']",D,New Mexico
65,SenatorTomUdall,An honor to receive the Special Recognition award from today I am committed to working with Native communities everywhere for years to come We have to strengthen Tribal sovereignty and promote self determination and I m honored to work with NCAI in this fight,0.35714285714285715,"['recognition', 'native', 'communities everywhere', 'tribal', 'self determination', 'ncai']",D,New Mexico
66,SenatorTomUdall, The plastics industry has convinced everybody if you put your recycling bin out on the corner you ve done everything you can d,0.0,['plastics industry'],D,New Mexico
67,SenatorTomUdall,Each of us is swallowing a credit card s worth of plastic each week It s polluting our oceans and communities costing taxpayers billions and worsening climate change The time has come to BreakFreeFromPlastic Pollution,0.3,"['credit card s worth', 'taxpayers billions', 'breakfreefromplastic pollution']",D,New Mexico
68,SenatorTomUdall,Our bill is comprehensive because this crisis demands it And it s achievable because the people are behind us Congress must take up this legislation now BreakFreeFromPlastic,-0.4,"['crisis demands', 'congress', 'breakfreefromplastic']",D,New Mexico
69,SenatorTomUdall,How does the bill work 1 We phase out single use items that can t be recycled 2 We shift responsibility for managing waste to the producers so they ll make more sustainable products 3 We prioritize communities that bear the worst cost of plastic pollution,-0.19285714285714287,"['bill work', 'sustainable products', 'prioritize communities', 'plastic pollution']",D,New Mexico
70,SenCortezMasto, Senator Cortez Masto s efforts secure 17 9M in down payment assistance for Nevada home buyers 8NN,0.12222222222222222,"['cortez masto', 's efforts', 'payment assistance', 'nevada', 'home buyers 8nn']",D,Nevada
71,SenCortezMasto,It takes courage to be the first especially in the face of racism amp sexism Shirley Chisholm broke barriers as the first African American woman to run for POTUS from a major party Her courage helped ensure women amp people of color have a seat at the table BlackHistoryMonth,0.09375,"['racism amp sexism', 'shirley chisholm', 'african', 'american woman', 'potus', 'major party', 'ensure women amp people', 'blackhistorymonth']",D,Nevada
72,SenCortezMasto, Learn about the Special Enrollment Period to see if you qualify for to enroll in coverage outside the Open Enrollment win,0.2892857142857143,"['learn', 'enrollment period', 'enrollment']",D,Nevada
73,SenCortezMasto,Nevada is fortunate to have a strong Native American community and I m working in the Senate to address the issues affecting Indian Country Today I was glad to have productive conversations with the Las Vegas Paiute Tribal Council,0.3333333333333333,"['nevada', 'native', 'american community', 'indian country', 'productive conversations', 'las vegas paiute tribal']",D,Nevada
74,SenCortezMasto,Today we re celebrating all of the WomenInScience who are changing the world amp encouraging girls to pursue STEM careers This InternationalDayOfWomenInScience I want to hear from women in NV amp across the globe about your favorite WomenInScience achievements in the comments,0.5,"['womeninscience', 'world amp', 'encouraging girls', 'stem', 'internationaldayofwomeninscience', 'nv', 'womeninscience']",D,Nevada
75,SenJackyRosen,Glad to see meeting Nevadans where they are in innovative ways to ensure every Nevadan is counted in this year s census,0.5,"['glad', 'nevadans', 'innovative ways', 'nevadan', 'year s census']",D,Nevada
76,SenJackyRosen,Productive conversation with this afternoon to discuss priorities for Nevada s institutions of higher education,0.25,"['productive', 'nevada', 's institutions']",D,Nevada
77,SenJackyRosen,As a computer programmer I had to write cybersecurity programs to protect businesses from data breaches and ransomware attacks We need to support our small businesses in developing comprehensive disaster recovery plans to restore their data applications and even hardware,-0.25,"['computer programmer', 'cybersecurity programs', 'data breaches', 'ransomware attacks', 'small businesses', 'comprehensive disaster recovery plans', 'data applications']",D,Nevada
78,SenJackyRosen,To build a renewable energy economy we need to be able to effectively store our energy Excited to see over 500 000 from coming to for energy storage research,0.4916666666666667,"['renewable energy economy', 'excited', 'energy storage research']",D,Nevada
79,SenJackyRosen,Great to see chapters from all across Nevada in DC today I will always stand with and advocate for our federal workers UnionStrong,0.8,"['nevada', 'dc', 'federal workers', 'unionstrong']",D,Nevada
80,gillibrandny,I m horrified by the attacks that took place in the Bronx Our NYPD officers put themselves in harm s way every single day to keep us safe this is completely unacceptable and the perpetrator must be held accountable to the fullest extent of the law,0.1761904761904762,"['bronx', 'nypd', 'harm s way', 'fullest extent']",D,New York
81,gillibrandny, As New York State farmers struggle against an influx of undervalued produce Senator Kirsten Gillibrand and Senate Minorit,0.13636363636363635,"['york', 'state farmers struggle', 'kirsten gillibrand', 'minorit']",D,New York
82,gillibrandny,Once again the Trump administration is misusing the federal government for political retribution There is no factual basis for this policy its true design is to punish New York,0.1621212121212121,"['trump', 'federal government', 'political retribution', 'factual basis', 'true design', 'york']",D,New York
83,gillibrandny,I voted to convict President Trump because I believe in our democracy and our Constitution No man or woman is above the law especially the president,0.0,"['convict president', 'trump']",D,New York
84,gillibrandny,The Senate failed the American people today Despite overwhelming evidence that President Trump abused his power and obstructed Congress Senate Republicans voted to acquit him putting personal ambitions and political futures ahead of the Constitution they swore to uphold,0.0,"['american people', 'trump', 'congress', 'personal ambitions', 'political futures']",D,New York
85,SenSchumer,Dear Senate Republicans President Trump didn t learn any lessons when you excused his abuse of power And now you are responsible for every new abuse he commits,0.16818181818181818,"['dear', 'trump', 'didn t', 'new abuse']",D,New York
86,SenSchumer,To the DOJ Inspector General I m calling for an immediate investigation of why the Roger Stone sentencing recommendations by career prosecutors were countermanded The American people must have confidence that justice in this country is dispensed impartially,0.02500000000000001,"['doj inspector', 'immediate investigation', 'roger stone', 'career prosecutors', 'american people']",D,New York
87,SenSchumer,Harlem Renaissance blues singer musician and performer Gladys Bentley was a true pioneer While singing and playing the piano Bentley s performances helped break barriers for LGBTQ performers BlackHistoryMonth,0.35,"['harlem', 'renaissance blues singer musician', 'gladys bentley', 'bentley', 's performances', 'lgbtq', 'blackhistorymonth']",D,New York
88,SenSchumer,It s time for DCStatehood DC residents deserve full representation at the local level and in Congress This bill moving forward in the House is a good step and I commend Rep for her work I ll keep fighting alongside for it in the Senate,0.3499999999999999,"['s time', 'dcstatehood dc', 'residents deserve', 'full representation', 'local level', 'congress', 'good step', 'rep']",D,New York
89,SenSchumer,I took to the Senate floor today with and to demand we pass commonsense bills to protect our 2020 elections But once again Senate Republicans afraid of the wrath of President Trump and Senator McConnell blocked our efforts,-0.6,"['senate floor', 'commonsense bills', 'trump', 'mcconnell']",D,New York
90,SenSherrodBrown,I ask my Republican colleagues what will you do to stop President Trump s personal retribution tour,0.0,"['republican', 'trump', 'personal retribution tour']",D,Ohio
91,SenSherrodBrown,Ohio UAW workers gave our office this copy of the first UAW GM agreement signed on February 11 1937 Back then the entire agreement fit on a single page Eight decades later the agreements are a little longer but the goal is still the same protecting American workers,0.04345238095238096,"['ohio uaw', 'uaw gm', 'february', 'entire agreement', 'american workers']",D,Ohio
92,SenSherrodBrown,Had a productive meeting with the Ohio Jewish Community Relations Committee Directors and representatives today discussing community security and combating anti Semitic hate crimes and domestic terrorism Hate and bigotry are not welcome in Ohio,-0.4,"['productive meeting', 'ohio', 'jewish community', 'directors', 'community security', 'semitic', 'domestic terrorism', 'hate', 'ohio']",D,Ohio
93,SenSherrodBrown,President Trump s budget is his blueprint for how he wants to pay for his GOPTaxScam cutting Medicare Medicaid and Social Security,-0.12222222222222222,"['trump', 's budget', 'goptaxscam', 'medicare medicaid', 'social security']",D,Ohio
94,SenSherrodBrown,Ohioans know all too well the toll the addiction crisis continues to take on our state I will keep working with my colleagues in Congress and local communities on efforts like my Fentanyl Sanctions Act to keep these dangerous drugs out of Ohio,-0.3,"['ohioans', 'addiction crisis', 'congress', 'local communities', 'fentanyl sanctions', 'dangerous drugs', 'ohio']",D,Ohio
95,senrobportman,This is great news for Toledo amp NW Ohio These much needed funds will help revitalize the Port of Toledo the largest landmass sea port on the Great Lakes ensuring that it will continue to handle the 12 million tons of cargo it sees per year,0.6,"['great news', 'toledo', 'amp nw', 'ohio', 'toledo', 'landmass sea port', 'lakes']",R,Ohio
96,senrobportman,Enjoyed seeing so many Ohioans at this morning s Buckeye Coffee Had some good conversations about the work we are doing on infrastructure jobs training amp the addiction crisis What a great way to start the morning,0.625,"['enjoyed', 'ohioans', 'morning s', 'buckeye coffee', 'good conversations', 'infrastructure jobs training amp', 'addiction crisis', 'great way']",R,Ohio
97,senrobportman,This is great news for Cleveland amp the entire NE Ohio region These funds will go a long way towards upgrading and modernizing a port that helps generates 3 5B in economic activity for Ohio Jobs More from,0.29,"['great news', 'cleveland', 'entire ne', 'ohio', 'long way', 'economic activity', 'ohio jobs']",R,Ohio
98,senrobportman,Timely hearing today looking at what steps need to be taken to protect against cybersecurity threats I ve led efforts in the Senate to bolster cybersecurity in the US and believe we all need to approach cybersecurity with the utmost diligence and seriousness,0.0,"['timely', 'steps need', 'cybersecurity threats', 'bolster cybersecurity', 'utmost diligence']",R,Ohio
99,senrobportman,Just met with the Ohio Association of Community Colleges to discuss the importance of passing the JOBSAct so Ohioans have the skills needed for the jobs available today Appreciate the great work they do to ensure students reach their potential,0.4000000000000001,"['ohio', 'colleges', 'jobsact', 'ohioans', 'appreciate', 'great work', 'ensure students']",R,Ohio
100,JimInhofe,While there remains a backlog of critical maintenance needs including upgrades to its locks and dams I will continue to fight to ensure the Army Corps devotes the resources necessary to fully modernize the infrastructure of the MKARNS For more,0.16666666666666666,"['critical maintenance needs', 'army corps devotes', 'mkarns']",R,Oklahoma
101,JimInhofe,I m glad to see continuing to prioritize the McClellan Kerr Arkansas River Navigation System in their FY20 Work Plan This additional operations and maintenance funding will improve barge operations and protect interstate commerce in Oklahoma,0.5,"['mcclellan kerr arkansas', 'river navigation system', 'fy20', 'work plan', 'additional operations', 'interstate commerce', 'oklahoma']",R,Oklahoma
102,JimInhofe,Termination of VFA would harm US amp Filipino interests a regrettable choice that can amp should be prevented The priority now must be urgent constructive dialogue so that we can move forward to advance our common security interests amp shared values,-0.3,"['termination', 'vfa', 'harm us amp', 'filipino', 'regrettable choice', 'urgent constructive dialogue', 'common security interests amp']",R,Oklahoma
103,JimInhofe,Glad to hear talk about the USMCA in his SOTU this is just the latest of new fair free trade deals the president has negotiated I will continue to fight alongside this year to ensure all Oklahomans benefit from his trade policies,0.44727272727272727,"['glad', 'usmca', 'sotu', 'new fair', 'free trade deals', 'oklahomans', 'trade policies']",R,Oklahoma
104,JimInhofe,In my opening remarks I made it clear A quick steep withdrawal from Afghanistan would give terrorist groups free rein to regroup plot against our interests and execute terrorist attacks Watch Read,0.2777777777777778,"['quick steep withdrawal', 'afghanistan', 'terrorist groups', 'free rein', 'regroup plot', 'terrorist attacks', 'watch read']",R,Oklahoma
105,SenatorLankford,Fisher played a pivotal role in the Civil Rights Movement in our state She paved the way so every person had the same opportunities and access to education BlackHistoryMonth,0.25,"['fisher', 'pivotal role', 'movement', 'blackhistorymonth']",R,Oklahoma
106,SenatorLankford,Ada Lois Sipuel Fisher from Chickasha worked to repeal state segregation laws in education She was initially denied the right to study at OU but was later admitted to attend law school after successfully appealing her case to the US Supreme Court,0.19642857142857142,"['ada lois sipuel fisher', 'chickasha', 'repeal state segregation laws', 'ou', 'law school', 'supreme court']",R,Oklahoma
107,SenatorLankford,Today I questioned on how we can support law enforcement to prevent amp respond to cyberattacks amp how we can bolster security for our nation s elections Watch here,0.0,"['support law enforcement', 'cyberattacks amp', 'bolster security', 'nation s elections', 'watch']",R,Oklahoma
108,SenatorLankford,I m glad my office was able to play a small part in OK Vietnam Veteran William Risner receiving the medals he earned while protecting our nation If you or a family member are seeking assistance with the VA please contact any of my offices so we can discuss how to best serve you,0.375,"['small part', 'vietnam veteran william risner', 'family member', 'va']",R,Oklahoma
109,SenatorLankford,This month amp every day we reflect on the achievements of black Americans who paved the way throughout our state amp nation s history in the face of great adversity We will continue to honor highlight amp support leaders who work to inspire the next generation BlackHistoryMonth,0.21111111111111114,"['month amp', 'state amp nation s history', 'great adversity', 'highlight amp support leaders', 'blackhistorymonth']",R,Oklahoma
110,SenJeffMerkley,Roger Stone perjured himself He violated his gag order He even posted a photo of the judge overseeing his case with a crosshairs near her face And THIS is the individual that Trump and Barr want to let off the hook,0.05,"['roger stone', 'gag order', 'this', 'trump', 'barr']",D,Oregon
111,SenJeffMerkley,In the face of rising threats from nuclear war the climate crisis amp state disinformation the Bulletin of Atomic Scientists have moved the Doomsday Clock to 100 seconds to midnight The closest humanity has ever been to our own annihilation We must act,0.6,"['nuclear war', 'climate crisis amp state disinformation', 'bulletin', 'atomic scientists', 'doomsday clock', 'own annihilation']",D,Oregon
112,SenJeffMerkley,The Republican Chairman is refusing to hold a hearing on the President s budget I guess I can t blame him I wouldn t want to hold a hearing on this dumpster fire of a budget either,0.0,"['republican', 'president s budget', 't blame', 'wouldn t', 'dumpster fire']",D,Oregon
113,SenJeffMerkley, Thank you for building pathways to success for members serving with programs like,0.3,['thank'],D,Oregon
114,SenJeffMerkley, Thank you for being a champion of and conservation In partnership with we,0.0,['thank'],D,Oregon
